date,trailName,bike,pedestrian,id
9/27/2020 20:00,Burke-Gilman Trail,12,12,2
9/27/2020 21:00,Burke-Gilman Trail,1,1,2
9/27/2020 22:00,Burke-Gilman Trail,5,5,2
9/27/2020 23:00,Burke-Gilman Trail,1,1,2
9/28/2020 0:00,Burke-Gilman Trail,0,0,2
9/28/2020 1:00,Burke-Gilman Trail,0,0,2
9/28/2020 2:00,Burke-Gilman Trail,0,0,2
9/28/2020 3:00,Burke-Gilman Trail,1,1,2
9/28/2020 4:00,Burke-Gilman Trail,2,2,2
9/28/2020 5:00,Burke-Gilman Trail,4,4,2
9/28/2020 6:00,Burke-Gilman Trail,50,50,2
9/28/2020 7:00,Burke-Gilman Trail,86,86,2
9/28/2020 8:00,Burke-Gilman Trail,91,91,2
9/28/2020 9:00,Burke-Gilman Trail,100,100,2
9/28/2020 10:00,Burke-Gilman Trail,109,109,2
9/28/2020 11:00,Burke-Gilman Trail,101,101,2
9/28/2020 12:00,Burke-Gilman Trail,159,159,2
9/28/2020 13:00,Burke-Gilman Trail,160,160,2
9/28/2020 14:00,Burke-Gilman Trail,169,169,2
9/28/2020 15:00,Burke-Gilman Trail,200,200,2
9/28/2020 16:00,Burke-Gilman Trail,188,188,2
9/28/2020 17:00,Burke-Gilman Trail,248,248,2
9/28/2020 18:00,Burke-Gilman Trail,217,217,2
9/28/2020 19:00,Burke-Gilman Trail,85,85,2
9/28/2020 20:00,Burke-Gilman Trail,17,17,2
9/28/2020 21:00,Burke-Gilman Trail,6,6,2
9/28/2020 22:00,Burke-Gilman Trail,3,3,2
9/28/2020 23:00,Burke-Gilman Trail,6,6,2
9/29/2020 0:00,Burke-Gilman Trail,4,4,2
9/29/2020 1:00,Burke-Gilman Trail,1,1,2
9/29/2020 2:00,Burke-Gilman Trail,0,0,2
9/29/2020 3:00,Burke-Gilman Trail,0,0,2
9/29/2020 4:00,Burke-Gilman Trail,1,1,2
9/29/2020 5:00,Burke-Gilman Trail,14,14,2
9/29/2020 6:00,Burke-Gilman Trail,42,42,2
9/29/2020 7:00,Burke-Gilman Trail,91,91,2
9/29/2020 8:00,Burke-Gilman Trail,101,101,2
9/29/2020 9:00,Burke-Gilman Trail,101,101,2
9/29/2020 10:00,Burke-Gilman Trail,108,108,2
9/29/2020 11:00,Burke-Gilman Trail,123,123,2
9/29/2020 12:00,Burke-Gilman Trail,122,122,2
9/29/2020 13:00,Burke-Gilman Trail,126,126,2
9/29/2020 14:00,Burke-Gilman Trail,160,160,2
9/29/2020 15:00,Burke-Gilman Trail,174,174,2
9/29/2020 16:00,Burke-Gilman Trail,264,264,2
9/29/2020 17:00,Burke-Gilman Trail,254,254,2
9/29/2020 18:00,Burke-Gilman Trail,167,167,2
9/29/2020 19:00,Burke-Gilman Trail,72,72,2
9/29/2020 20:00,Burke-Gilman Trail,6,6,2
9/29/2020 21:00,Burke-Gilman Trail,2,2,2
9/29/2020 22:00,Burke-Gilman Trail,7,7,2
9/29/2020 23:00,Burke-Gilman Trail,1,1,2
9/30/2020 0:00,Burke-Gilman Trail,0,0,2
9/30/2020 1:00,Burke-Gilman Trail,2,2,2
9/30/2020 2:00,Burke-Gilman Trail,2,2,2
9/30/2020 3:00,Burke-Gilman Trail,2,2,2
9/30/2020 4:00,Burke-Gilman Trail,4,4,2
9/30/2020 5:00,Burke-Gilman Trail,15,15,2
9/30/2020 6:00,Burke-Gilman Trail,35,35,2
9/30/2020 7:00,Burke-Gilman Trail,102,102,2
9/30/2020 8:00,Burke-Gilman Trail,95,95,2
9/30/2020 9:00,Burke-Gilman Trail,94,94,2
9/30/2020 10:00,Burke-Gilman Trail,65,65,2
9/30/2020 11:00,Burke-Gilman Trail,98,98,2
9/30/2020 12:00,Burke-Gilman Trail,94,94,2
9/30/2020 13:00,Burke-Gilman Trail,114,114,2
9/30/2020 14:00,Burke-Gilman Trail,132,132,2
9/30/2020 15:00,Burke-Gilman Trail,152,152,2
9/30/2020 16:00,Burke-Gilman Trail,194,194,2
9/30/2020 17:00,Burke-Gilman Trail,242,242,2
9/30/2020 18:00,Burke-Gilman Trail,221,221,2
9/30/2020 19:00,Burke-Gilman Trail,69,69,2
9/30/2020 20:00,Burke-Gilman Trail,20,20,2
9/30/2020 21:00,Burke-Gilman Trail,8,8,2
9/30/2020 22:00,Burke-Gilman Trail,10,10,2
9/30/2020 23:00,Burke-Gilman Trail,0,0,2
6/22/2020 15:00,Broadway Cycle,0,,3
6/22/2020 16:00,Broadway Cycle,0,,3
6/22/2020 17:00,Broadway Cycle,0,,3
6/22/2020 18:00,Broadway Cycle,0,,3
6/22/2020 19:00,Broadway Cycle,0,,3
6/22/2020 20:00,Broadway Cycle,0,,3
6/22/2020 21:00,Broadway Cycle,0,,3
6/22/2020 22:00,Broadway Cycle,0,,3
6/22/2020 23:00,Broadway Cycle,0,,3
6/23/2020 0:00,Broadway Cycle,0,,3
6/23/2020 1:00,Broadway Cycle,0,,3
6/23/2020 2:00,Broadway Cycle,0,,3
6/23/2020 3:00,Broadway Cycle,0,,3
6/23/2020 4:00,Broadway Cycle,0,,3
6/23/2020 5:00,Broadway Cycle,0,,3
6/23/2020 6:00,Broadway Cycle,0,,3
6/23/2020 7:00,Broadway Cycle,0,,3
6/23/2020 8:00,Broadway Cycle,0,,3
6/23/2020 9:00,Broadway Cycle,0,,3
6/23/2020 10:00,Broadway Cycle,2,,3
6/23/2020 11:00,Broadway Cycle,4,,3
6/23/2020 12:00,Broadway Cycle,1,,3
6/23/2020 13:00,Broadway Cycle,0,,3
6/23/2020 14:00,Broadway Cycle,0,,3
6/23/2020 15:00,Broadway Cycle,0,,3
6/23/2020 16:00,Broadway Cycle,0,,3
